2026-02-16 07:04:33 | pipeline                  | INFO    | ============================================================
2026-02-16 07:04:33 | pipeline                  | INFO    | QUANT RESEARCH PIPELINE — START
2026-02-16 07:04:33 | pipeline                  | INFO    | ============================================================
2026-02-16 07:04:33 | pipeline                  | INFO    | STEP 1: Loading data...
2026-02-16 07:04:33 | data.loaders.price_loader | INFO    | Downloading price data for 50 tickers from 2016-01-01 to 2025-12-31
2026-02-16 07:04:49 | data.loaders.price_loader | WARNING | DHR: 1 days with >50% move (possible bad adjustment)
2026-02-16 07:04:49 | data.loaders.price_loader | WARNING | AMD: 1 days with >50% move (possible bad adjustment)
2026-02-16 07:04:49 | data.loaders.price_loader | INFO    | Price data loaded: (2513, 250)
2026-02-16 07:04:49 | pipeline                  | INFO    |   Prices: (2513, 50)
2026-02-16 07:04:49 | pipeline                  | INFO    |   Valid tickers: 50
2026-02-16 07:05:27 | pipeline                  | INFO    |   Fundamentals: (50, 21)
2026-02-16 07:05:30 | data.loaders.macro_loader | INFO    | pandas-datareader not available; using market proxies
2026-02-16 07:05:30 | data.loaders.macro_loader | INFO    | Macro data loaded: 12 features, 2609 observations
2026-02-16 07:05:30 | pipeline                  | INFO    |   Macro: (2609, 12)
2026-02-16 07:05:30 | pipeline                  | INFO    | STEP 2: Computing features...
2026-02-16 07:06:18 | pipeline                  | INFO    |   Technical features: 50 tickers
2026-02-16 07:06:18 | pipeline                  | INFO    |   Macro features: 16 columns
2026-02-16 07:06:18 | pipeline                  | INFO    | STEP 3: Building cross-sectional feature matrix...
2026-02-16 07:06:18 | pipeline                  | INFO    |   Feature matrix: (50, 39)
2026-02-16 07:06:18 | pipeline                  | INFO    | STEP 4: Training models...
2026-02-16 07:06:18 | models.xgboost_model      | INFO    | Using LightGBM model
2026-02-16 07:06:18 | models.xgboost_model      | INFO    | Model trained. Top features: {'drawdown': 73, 'ma_200_dist': 72, 'ret_21d': 55, 'atr_pct': 47, 'operating_margin': 38}
2026-02-16 07:06:18 | pipeline                  | INFO    |   XGBoost trained. Top features: ['drawdown', 'ma_200_dist', 'ret_21d', 'atr_pct', 'operating_margin']
